,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,primary_title,original_title,start_year,genres,ROI
976,"Dec 16, 2016",Collateral Beauty,36000000,31016021,85309093,2016,Dec,Collateral Beauty,Collateral Beauty,2016,"Drama,Romance",237.0
980,"Sep 8, 2017",It,35000000,327481748,697457969,2017,Sep,It,It,2017,"Horror,Thriller",1992.7
981,"Dec 22, 2010",True Grit,35000000,171243005,252276928,2010,Dec,True Grit,True Grit,2010,"Adventure,Drama,Western",720.8
982,"Feb 8, 2013",Identity Thief,35000000,134506920,175361578,2013,Feb,Identity Thief,Identity Thief,2013,"Adventure,Comedy,Crime",501.0
983,"Jul 8, 2011",Horrible Bosses,35000000,117538559,212417601,2011,Jul,Horrible Bosses,Horrible Bosses,2011,"Comedy,Crime",606.9
984,"Jul 17, 2015",Trainwreck,35000000,110212700,141123897,2015,Jul,Trainwreck,Trainwreck,2015,"Comedy,Drama,Romance",403.2
985,"Dec 13, 2013",Saving Mr. Banks,35000000,83299761,114962525,2013,Dec,Saving Mr. Banks,Saving Mr. Banks,2013,"Biography,Comedy,Drama",328.5
986,"Mar 28, 2008",21,35000000,81159365,159846429,2008,Mar,21,21,2016,Horror,456.7
987,"Jul 29, 2005",Sky High,35000000,63939454,83109359,2005,Jul,Sky High,Sky High,2012,"Adventure,Documentary,Drama",237.5
988,"Apr 30, 2010",A Nightmare on Elm Street,35000000,63075011,117729621,2010,Apr,A Nightmare on Elm Street,A Nightmare on Elm Street,2010,"Crime,Drama,Horror",336.4
990,"Jul 22, 2011",Friends with Benefits,35000000,55802754,146595891,2011,Jul,Friends with Benefits,Friends with Benefits,2011,"Comedy,Romance",418.8
991,"May 20, 2016",Neighbors 2: Sorority Rising,35000000,55340730,108757621,2016,May,Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,2016,Comedy,310.7
993,"Jun 29, 2018",Sicario: Day of the Soldado,35000000,50065850,75885196,2018,Jun,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,"Action,Crime,Drama",216.8
994,"May 22, 2015",Poltergeist,35000000,47425125,95713069,2015,May,Poltergeist,Poltergeist,2015,"Horror,Thriller",273.5
995,"Oct 12, 2018",Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,2018,Oct,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,2018,"Adventure,Comedy,Family",266.5
996,"Jan 19, 2018",12 Strong,35000000,45819713,71118378,2018,Jan,12 Strong,12 Strong,2018,"Action,Drama,History",203.2
998,"Oct 28, 2011",In Time,35000000,37553932,165103952,2011,Oct,In Time,In Time,2011,"Action,Crime,Drama",471.7
999,"Apr 23, 2010",The Back-up Plan,35000000,37490007,75281179,2010,Apr,The Back-up Plan,The Back-up Plan,2010,"Comedy,Romance",215.1
1000,"Nov 9, 2011",J. Edgar,35000000,37306030,84606030,2011,Nov,J. Edgar,J. Edgar,2011,"Biography,Crime,Drama",241.7
1006,"Oct 13, 2017",The Foreigner,35000000,34393507,140783360,2017,Oct,The Foreigner,The Foreigner,2017,"Action,Thriller",402.2
1009,"Dec 3, 2004",Closer,35000000,33987757,116177695,2004,Dec,Closer,Closer,2015,Drama,331.9
1014,"Aug 15, 2008",Mirrors,35000000,30691439,77220596,2008,Aug,Mirrors,Mirrors,2013,Documentary,220.6
1016,"Jan 6, 2017",Underworld: Blood Wars,35000000,30353973,81209222,2017,Jan,Underworld: Blood Wars,Underworld: Blood Wars,2016,"Action,Adventure,Fantasy",232.0
1017,"Sep 23, 2011",Abduction,35000000,28087155,86648359,2011,Sep,Abduction,Abduction,2011,"Action,Mystery,Thriller",247.6
1030,"Aug 21, 2015",Hitman: Agent 47,35000000,22467450,82182803,2015,Aug,Hitman: Agent 47,Hitman: Agent 47,2015,"Action,Adventure,Crime",234.8
1074,"Jun 28, 2017",Baby Driver,34000000,107825862,228104185,2017,Jun,Baby Driver,Baby Driver,2017,"Action,Crime,Drama",670.9
1075,"Sep 19, 2014",The Maze Runner,34000000,102427862,348319861,2014,Sep,The Maze Runner,The Maze Runner,2014,"Action,Mystery,Sci-Fi",1024.5
1079,"Mar 16, 2001",Exit Wounds,33000000,51758599,79958599,2001,Mar,Exit Wounds,Exit Wounds,2015,"Documentary,Drama,War",242.3
1080,"Jul 8, 2016",Mike and Dave Need Wedding Dates,33000000,46009673,75898100,2016,Jul,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,"Adventure,Comedy,Romance",230.0
1081,"Jul 27, 2012",Step Up Revolution,33000000,35074677,165552290,2012,Jul,Step Up Revolution,Step Up Revolution,2012,"Drama,Music,Romance",501.7
1091,"May 13, 2011",Bridesmaids,32500000,169211718,289632023,2011,May,Bridesmaids,Bridesmaids,2011,"Comedy,Romance",891.2
1098,"Aug 27, 2010",Takers,32000000,57744720,70587268,2010,Aug,Takers,Takers,2010,"Action,Crime,Thriller",220.6
1099,"Apr 1, 2011",Source Code,32000000,54712227,140428499,2011,Apr,Source Code,Source Code,2011,"Action,Drama,Sci-Fi",438.8
1100,"Apr 20, 2018",I Feel Pretty,32000000,48795601,91553797,2018,Apr,I Feel Pretty,I Feel Pretty,2018,"Comedy,Romance",286.1
1101,"Feb 18, 2011","Big Mommas: Like Father, Like Son",32000000,37915414,82332450,2011,Feb,"Big Mommas: Like Father, Like Son","Big Mommas: Like Father, Like Son",2011,"Action,Comedy,Crime",257.3
1110,"Apr 12, 2013",42,31000000,95020213,97470701,2013,Apr,42,42,2013,"Biography,Drama,Sport",314.4
1111,"Nov 2, 2012",Flight,31000000,93772375,160558438,2012,Nov,Flight,Flight,2012,"Drama,Thriller",517.9
1113,"Mar 7, 2014",The Grand Budapest Hotel,31000000,59076019,163981261,2014,Mar,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime",529.0
1114,"Jul 29, 2015",Vacation,31000000,58884188,102306500,2015,Jul,Vacation,Vacation,2015,"Adventure,Comedy",330.0
1115,"Apr 28, 2000",Frequency,31000000,44983704,68079671,2000,Apr,Frequency,Distraction,2012,"Sci-Fi,Thriller",219.6
1120,"Aug 15, 2018",Crazy Rich Asians,30000000,174532921,238099711,2018,Aug,Crazy Rich Asians,Crazy Rich Asians,2018,"Comedy,Romance",793.7
1121,"Dec 27, 2002",Chicago,30000000,170687518,306770545,2002,Dec,Chicago,Chicago,2011,Documentary,1022.6
1123,"Feb 10, 2012",The Vow,30000000,125014030,197618160,2012,Feb,The Vow,The Vow,2012,"Drama,Romance",658.7
1124,"Aug 16, 2013",Lee Daniels' The Butler,30000000,116632095,177025498,2013,Aug,Lee Daniels' The Butler,The Butler,2013,"Biography,Drama",590.1
1125,"Dec 18, 2015",Sisters,30000000,87044645,106030660,2015,Dec,Sisters,Sisters,2015,Comedy,353.4
1132,"Jun 25, 2004",The Notebook,30000000,81001787,116025023,2004,Jun,The Notebook,A nagy füzet,2013,"Drama,War",386.8
1133,"Sep 28, 2012",Looper,30000000,66486205,170466405,2012,Sep,Looper,Looper,2012,"Action,Crime,Drama",568.2
1134,"Feb 1, 2013",Warm Bodies,30000000,66380662,115121608,2013,Feb,Warm Bodies,Warm Bodies,2013,"Comedy,Horror,Romance",383.7
1135,"Jan 17, 2014",The Nut Job,30000000,64251538,122529966,2014,Jan,The Nut Job,The Nut Job,2014,"Adventure,Animation,Comedy",408.4
1136,"Feb 16, 2001",Down to Earth,30000000,64172251,71172251,2001,Feb,Down to Earth,Down to Earth,2015,"Adventure,Documentary",237.2
1138,"Aug 8, 2012",Hope Springs,30000000,63536011,133085295,2012,Aug,Hope Springs,Hope Springs,2012,"Comedy,Drama,Romance",443.6
1139,"Jan 9, 2009",Bride Wars,30000000,58715510,115150424,2009,Jan,Bride Wars,Xin niang da zuo zhan,2015,Comedy,383.8
1140,"May 20, 2011",Midnight in Paris,30000000,56816662,162502774,2011,May,Midnight in Paris,Midnight in Paris,2019,"Comedy,Documentary,Drama",541.7
1142,"Nov 22, 2017",Darkest Hour,30000000,56443120,150807172,2017,Nov,Darkest Hour,Darkest Hour,2017,"Biography,Drama,History",502.7
1143,"May 11, 2018",Life of the Party,30000000,53059911,65759911,2018,May,Life of the Party,Life of the Party,2017,"Comedy,Drama",219.2
1147,"May 14, 2010",Letters to Juliet,30000000,53032453,82148538,2010,May,Letters to Juliet,Letters to Juliet,2010,"Adventure,Comedy,Drama",273.8
1148,"Jul 24, 2015",Southpaw,30000000,52421953,94156456,2015,Jul,Southpaw,Southpaw,2015,"Drama,Sport",313.9
1149,"Jul 28, 2017",Atomic Blonde,30000000,51573925,98345423,2017,Jul,Atomic Blonde,Atomic Blonde,2017,"Action,Mystery,Thriller",327.8
1150,"Sep 18, 2015",Sicario,30000000,46889293,84393749,2015,Sep,Sicario,Sicario,2015,"Action,Crime,Drama",281.3
1151,"Jan 19, 2018",Den of Thieves,30000000,44947622,80131391,2018,Jan,Den of Thieves,Den of Thieves,2018,"Action,Crime,Drama",267.1
1154,"Oct 24, 2014",John Wick,30000000,43037835,76235001,2014,Oct,John Wick,John Wick,2014,"Action,Crime,Thriller",254.1
1155,"Apr 24, 2015",The Age of Adaline,30000000,42629776,68984536,2015,Apr,The Age of Adaline,The Age of Adaline,2015,"Drama,Fantasy,Romance",229.9
1156,"Aug 6, 2010",Step Up 3D,30000000,42400223,165889117,2010,Aug,Step Up 3D,Step Up 3D,2010,"Drama,Music,Romance",553.0
1157,"Apr 13, 2012",The Cabin in the Woods,30000000,42073277,70689968,2012,Apr,The Cabin in the Woods,The Cabin in the Woods,2011,Horror,235.6
1158,"Apr 8, 2011",Hanna,30000000,40259119,65343694,2011,Apr,Hanna,Hanna,2011,"Action,Drama,Thriller",217.8
1167,"Jul 1, 2011",Larry Crowne,30000000,35608245,61449135,2011,Jul,Larry Crowne,Larry Crowne,2011,"Comedy,Drama,Romance",204.8
1168,"Oct 18, 2013",Carrie,30000000,35266619,82409520,2013,Oct,Carrie,Carrie,2013,"Drama,Horror",274.7
1171,"Feb 8, 2013",Side Effects,30000000,32172757,66742138,2013,Feb,Side Effects,Side Effects,2013,"Crime,Drama,Mystery",222.5
1174,"Jul 2, 2014",Deliver Us from Evil,30000000,30577122,87956618,2014,Jul,Deliver Us from Evil,Deliver Us from Evil,2014,"Horror,Mystery,Thriller",293.2
1176,"Apr 27, 2012",The Five-Year Engagement,30000000,28700285,61623819,2012,Apr,The Five-Year Engagement,The Five-Year Engagement,2012,"Comedy,Romance",205.4
1179,"Feb 4, 2011",Sanctum,30000000,23209310,108957098,2011,Feb,Sanctum,Sanctum,2011,"Adventure,Drama,Thriller",363.2
1180,"Aug 25, 2017",Ballerina,30000000,21858070,96892829,2017,Aug,Ballerina,Ballerina,2012,"Biography,Documentary",323.0
1181,"Nov 19, 2010",The Next Three Days,30000000,21148651,67255916,2010,Nov,The Next Three Days,The Next Three Days,2010,"Action,Crime,Drama",224.2
1183,"Oct 4, 2013",Runner Runner,30000000,19316646,60512680,2013,Oct,Runner Runner,Runner Runner,2013,"Crime,Thriller",201.7
1184,"Apr 28, 2017",Baahubali 2: The Conclusion,30000000,18985794,263502914,2017,Apr,Baahubali 2: The Conclusion,Baahubali 2: The Conclusion,2017,"Action,Drama",878.3
1223,"May 15, 2015",Pitch Perfect 2,29000000,184296230,287625468,2015,May,Pitch Perfect 2,Pitch Perfect 2,2015,"Comedy,Music",991.8
1224,"Sep 28, 2018",Night School,29000000,77339130,103008792,2018,Sep,Night School,Night School,2016,Documentary,355.2
1226,"Apr 8, 2016",The Boss,29000000,63077560,78652207,2016,Apr,The Boss,The Boss,2016,Comedy,271.2
1232,"Aug 14, 2015",Straight Outta Compton,28000000,161197785,202182981,2015,Aug,Straight Outta Compton,Straight Outta Compton,2015,"Biography,Drama,History",722.1
1233,"Jul 21, 2017",Girls Trip,28000000,115108515,140886353,2017,Jul,Girls Trip,Girls Trip,2017,"Comedy,Drama",503.2
1234,"Nov 1, 2017",A Bad Moms Christmas,28000000,72110659,127710550,2017,Nov,A Bad Moms Christmas,A Bad Moms Christmas,2017,"Adventure,Comedy",456.1
1235,"Feb 14, 2013",Safe Haven,28000000,71399120,94050951,2013,Feb,Safe Haven,Safe Haven,2013,"Drama,Romance,Thriller",335.9
1237,"Dec 11, 2015",The Big Short,28000000,70259870,133162752,2015,Dec,The Big Short,The Big Short,2015,"Biography,Comedy,Drama",475.6
1238,"Nov 7, 2008",Role Models,28000000,67300955,94500826,2008,Nov,Role Models,Role Models,2014,Documentary,337.5
1240,"Oct 10, 2014","Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66954149,101379287,2014,Oct,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy,Family",362.1
1241,"Feb 6, 2004",Miracle,28000000,64378093,64474705,2004,Feb,Miracle,Miracle,2019,Thriller,230.3
1246,"Jan 28, 2013",Last Vegas,28000000,63914167,112914167,2013,Jan,Last Vegas,Last Vegas,2013,"Comedy,Drama",403.3
1247,"Jun 15, 2018",Tag,28000000,54730625,77026186,2018,Jun,Tag,Tag,2015,Drama,275.1
1253,"Apr 25, 2003",Identity,28000000,52131264,82183683,2003,Apr,Identity,Identity,2015,Drama,293.5
1256,"Oct 5, 2001",Serendipity,28000000,50255310,77477297,2001,Oct,Serendipity,Serendipity,2018,Drama,276.7
1258,"Apr 16, 2010",Kick-Ass,28000000,48071303,97531134,2010,Apr,Kick-Ass,Kick-Ass,2010,"Action,Comedy",348.3
1261,"Aug 16, 2013",Kick-Ass 2,28000000,28795985,63129909,2013,Aug,Kick-Ass 2,Kick-Ass 2,2013,"Action,Comedy,Crime",225.5
1262,"Sep 19, 2014",A Walk Among the Tombstones,28000000,26017685,62108587,2014,Sep,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,"Action,Crime,Drama",221.8
1264,"Apr 25, 2014",Brick Mansions,28000000,20396829,73421224,2014,Apr,Brick Mansions,Brick Mansions,2014,"Action,Crime",262.2
1274,"Mar 18, 2011",Limitless,27000000,79249455,155564919,2011,Mar,Limitless,Limitless,2011,"Mystery,Sci-Fi,Thriller",576.2
1277,"May 13, 2016",Money Monster,27000000,41012075,93466095,2016,May,Money Monster,Money Monster,2016,"Crime,Drama,Thriller",346.2
1280,"Aug 19, 2005",Red Eye,26000000,57891803,96666486,2005,Aug,Red Eye,Red Eye,2017,Horror,371.8
1281,"Apr 26, 2013",Pain & Gain,26000000,49875291,81275291,2013,Apr,Pain & Gain,Pain & Gain,2013,"Action,Comedy,Crime",312.6
1282,"Jan 22, 2010",Legion,26000000,40168080,67647574,2010,Jan,Legion,Legion,2010,"Action,Fantasy,Horror",260.2
1283,"Aug 29, 2012",Lawless,26000000,37397291,54393687,2012,Aug,Lawless,Lawless,2012,"Crime,Drama",209.2
1323,"Aug 10, 2011",The Help,25000000,169705587,213120004,2011,Aug,The Help,The Help,2011,Drama,852.5
1324,"Dec 25, 2016",Hidden Figures,25000000,169607287,231771716,2016,Dec,Hidden Figures,Hidden Figures,2016,"Biography,Drama,History",927.1
1325,"Jan 17, 2014",Ride Along,25000000,134202565,153733800,2014,Jan,Ride Along,Ride Along,2014,"Action,Comedy,Crime",614.9
1327,"Feb 5, 2010",Dear John,25000000,80014842,142033509,2010,Feb,Dear John,Dear John,2010,"Drama,Romance,War",568.1
1328,"Dec 25, 2012",Parental Guidance,25000000,77267296,120832383,2012,Dec,Parental Guidance,Parental Guidance,2012,"Comedy,Family",483.3
1329,"Dec 15, 2000",Chocolat,25000000,71309760,152500343,2000,Dec,Chocolat,Chocolat,2016,"Biography,Drama",610.0
1330,"Jan 21, 2011",No Strings Attached,25000000,70662220,149228078,2011,Jan,No Strings Attached,No Strings Attached,2011,"Comedy,Romance",596.9
1333,"Jan 13, 2012",Contraband,25000000,66528000,98406855,2012,Jan,Contraband,Contraband,2012,"Action,Crime,Drama",393.6
1334,"Apr 20, 2012",The Lucky One,25000000,60457138,96633833,2012,Apr,The Lucky One,The Lucky One,2012,"Drama,Romance",386.5
1335,"Apr 22, 2011",Madea's Big Happy Family,25000000,53345287,54160818,2011,Apr,Madea's Big Happy Family,Madea's Big Happy Family,2011,"Comedy,Drama",216.6
1336,"Jan 27, 2012",The Grey,25000000,51580136,81249176,2012,Jan,The Grey,The Grey,2011,"Action,Adventure,Drama",325.0
1337,"Jan 28, 2005",Hide and Seek,25000000,51100486,123696741,2005,Jan,Hide and Seek,Sum-bakk-og-jil,2013,"Action,Horror,Mystery",494.8
1342,"Aug 15, 2014",The Giver,25000000,45090374,66540205,2014,Aug,The Giver,The Giver,2014,"Drama,Romance,Sci-Fi",266.2
1343,"Nov 20, 2015",The Night Before,25000000,43035725,52427346,2015,Nov,The Night Before,The Night Before,2015,"Adventure,Comedy,Fantasy",209.7
1346,"Dec 25, 2013",August: Osage County,25000000,37738810,50738810,2013,Dec,August: Osage County,August: Osage County,2013,"Comedy,Drama",203.0
1348,"Sep 7, 2018",Peppermint,25000000,35418723,51800758,2018,Sep,Peppermint,Peppermint,2018,"Action,Crime,Drama",207.2
1349,"Sep 21, 2007",Good Luck Chuck,25000000,35017297,59183821,2007,Sep,Good Luck Chuck,Good Luck Chuck,2016,Comedy,236.7
1359,"Feb 3, 2017",Rings,25000000,27793018,82917283,2017,Feb,Rings,Rings,2017,"Drama,Horror,Mystery",331.7
1370,"Oct 25, 2013",The Counselor,25000000,16973715,71009334,2013,Oct,The Counselor,The Counselor,2013,"Crime,Drama,Thriller",284.0
1426,"Jun 20, 2014",Think Like a Man Too,24000000,65028687,70027933,2014,Jun,Think Like a Man Too,Think Like a Man Too,2014,"Comedy,Romance",291.8
1427,"Dec 16, 2016",Fences,24000000,57682904,64282881,2016,Dec,Fences,Fences,2016,Drama,267.8
1429,"Oct 14, 2011",Footloose,24000000,51802742,62989834,2011,Oct,Footloose,Footloose,2011,"Comedy,Drama,Music",262.5
1430,"Apr 7, 2017",Going in Style,24000000,45018541,78672579,2017,Apr,Going in Style,Going in Style,2017,"Comedy,Crime",327.8
1431,"Nov 21, 2007",Hitman,24000000,39687694,99135571,2007,Nov,Hitman,Hitman,2012,Action,413.1
1433,"Aug 20, 2010",Piranha 3D,24000000,25003155,83660160,2010,Aug,Piranha 3D,Piranha 3D,2010,"Comedy,Horror",348.6
1439,"Nov 16, 2018",Green Book,23000000,85080171,322034439,2018,Nov,Green Book,Green Book,2018,"Biography,Comedy,Drama",1400.1
1440,"Jan 16, 2015",The Wedding Ringer,23000000,64460211,80171596,2015,Jan,The Wedding Ringer,The Wedding Ringer,2015,Comedy,348.6
1441,"Mar 17, 2000",Final Destination,23000000,53302314,112036870,2000,Mar,Final Destination,Final Destination,2013,Documentary,487.1
1442,"Oct 7, 2011",The Ides of March,23000000,40962534,77735925,2011,Oct,The Ides of March,The Ides of March,2011,"Drama,Thriller",338.0
1444,"Jan 10, 2014",Her,23000000,25568251,48163815,2014,Jan,Her,Her,2013,"Drama,Romance,Sci-Fi",209.4
1462,"Feb 28, 2014",Son of God,22000000,59700064,70949793,2014,Feb,Son of God,Son of God,2010,Documentary,322.5
1464,"Aug 8, 2014",The Hundred-Foot Journey,22000000,54235441,94270488,2014,Aug,The Hundred-Foot Journey,The Hundred-Foot Journey,2014,"Comedy,Drama",428.5
1465,"Aug 3, 2012",Diary of a Wimpy Kid: Dog Days,22000000,49008662,77229695,2012,Aug,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,2012,"Comedy,Family",351.0
1466,"Nov 11, 2005",Derailed,22000000,36020063,57520063,2005,Nov,Derailed,Doo namja,2016,"Action,Crime",261.5
1468,"Nov 22, 2013",Delivery Man,22000000,30659817,70536870,2013,Nov,Delivery Man,Delivery Man,2013,"Comedy,Drama",320.6
1469,"Feb 5, 2016","Hail, Caesar!",22000000,30080225,64160680,2016,Feb,"Hail, Caesar!","Hail, Caesar!",2016,"Comedy,Drama,Music",291.6
1472,"Nov 27, 2013",Homefront,22000000,20158492,51695362,2013,Nov,Homefront,Homefront,2013,"Action,Thriller",235.0
1475,"Sep 4, 2015",The Transporter Refueled,22000000,16029670,69698495,2015,Sep,The Transporter Refueled,The Transporter Refueled,2015,"Action,Adventure,Crime",316.8
1484,"Jun 22, 2012",To Rome with Love,21500000,16684352,74326015,2012,Jun,To Rome with Love,To Rome with Love,2012,"Comedy,Music,Romance",345.7
1485,"Nov 16, 2012",Silver Linings Playbook,21000000,132092958,236412453,2012,Nov,Silver Linings Playbook,Silver Linings Playbook,2012,"Comedy,Drama,Romance",1125.8
1486,"Apr 6, 2018",Blockers,21000000,60311495,94045328,2018,Apr,Blockers,Blockers,2018,Comedy,447.8
1487,"Apr 5, 2019",Pet Sematary,21000000,54724696,109501146,2019,Apr,Pet Sematary,Pet Sematary,2019,"Horror,Mystery,Thriller",521.4
1488,"Apr 16, 2010",Death at a Funeral,21000000,42739347,48977233,2010,Apr,Death at a Funeral,Death at a Funeral,2010,Comedy,233.2
1495,"Dec 9, 2011",Tinker Tailor Soldier Spy,21000000,24149393,81452811,2011,Dec,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,2011,"Drama,Mystery,Thriller",387.9
1500,"Mar 22, 2019",Us,20000000,175006930,254210310,2019,Mar,Us,Vi,2013,Drama,1271.1
1503,"Dec 9, 2016",La La Land,20000000,151101803,426351163,2016,Dec,La La Land,La La Land,2016,"Comedy,Drama,Music",2131.8
1504,"Jul 19, 2013",The Conjuring,20000000,137400141,318000141,2013,Jul,The Conjuring,The Conjuring,2013,"Horror,Mystery,Thriller",1590.0
1505,"Nov 17, 2017",Wonder,20000000,132422809,304604712,2017,Nov,Wonder,Wonder,2017,"Drama,Family",1523.0
1506,"Oct 15, 2010",Jackass 3D,20000000,117229692,171685793,2010,Oct,Jackass 3D,Jackass 3D,2010,"Action,Comedy,Documentary",858.4
1507,"Jul 29, 2016",Bad Moms,20000000,113257297,180998716,2016,Jul,Bad Moms,Bad Moms,2016,Comedy,905.0
1508,"Jan 18, 2019",Glass,20000000,111035005,245303505,2019,Jan,Glass,Glass,2012,,1226.5
1513,"Jul 2, 2014",Tammy,20000000,84525432,96407655,2014,Jul,Tammy,Tammy,2014,"Comedy,Romance",482.0
1514,"Nov 16, 2011",The Descendants,20000000,82624961,175507800,2011,Nov,The Descendants,The Descendants,2011,"Comedy,Drama",877.5
1516,"Oct 3, 2003",School of Rock,20000000,81261177,131944672,2003,Oct,School of Rock,School of Rock,2018,Music,659.7
1517,"Apr 24, 2009",Obsessed,20000000,68261644,73964713,2009,Apr,Obsessed,In-gan-jung-dok,2014,Drama,369.8
1518,"Mar 31, 2010",The Last Song,20000000,62950384,92678948,2010,Mar,The Last Song,The Last Song,2010,"Drama,Music,Romance",463.4
1519,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067,2010,Apr,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",304.2
1520,"Oct 18, 2013",12 Years a Slave,20000000,56671993,181025343,2013,Oct,12 Years a Slave,12 Years a Slave,2013,"Biography,Drama,History",905.1
1521,"Jun 3, 2016",Me Before You,20000000,56245075,208265198,2016,Jun,Me Before You,Me Before You,2016,"Drama,Romance",1041.3
1522,"Feb 8, 2019",What Men Want,20000000,54611903,69911903,2019,Feb,What Men Want,What Men Want,2019,"Comedy,Fantasy,Romance",349.6
1523,"Apr 15, 2016",Barbershop: The Next Cut,20000000,54030051,54404202,2016,Apr,Barbershop: The Next Cut,Barbershop: The Next Cut,2016,"Comedy,Drama",272.0
1524,"Sep 14, 2018",A Simple Favor,20000000,53548586,97628717,2018,Sep,A Simple Favor,A Simple Favor,2018,"Comedy,Crime,Drama",488.1
1525,"Jan 9, 2015",Selma,20000000,52076908,66776576,2015,Jan,Selma,Selma,2014,"Biography,Drama,History",333.9
1526,"Nov 6, 2015",Spotlight,20000000,45055776,92088460,2015,Nov,Spotlight,Spotlight,2015,"Crime,Drama",460.4
1528,"Mar 30, 2018",Acrimony,20000000,43549096,46627836,2018,Mar,Acrimony,Acrimony,2018,"Drama,Romance,Thriller",233.1
1529,"Jun 26, 2015",Max,20000000,42656255,43658157,2015,Jun,Max,Max,2010,"Biography,Comedy,Documentary",218.3
1532,"Jul 24, 2009",Orphan,20000000,41596251,78769428,2009,Jul,Orphan,Orpheline,2016,Drama,393.8
1533,"Nov 17, 2017",The Star,20000000,40847995,62758010,2017,Nov,The Star,The Star,2017,"Adventure,Animation,Comedy",313.8
1534,"Jul 27, 2016",Nerve,20000000,38583626,70652284,2016,Jul,Nerve,Nerve,2011,"Comedy,Drama",353.3
1538,"Feb 19, 2016",Risen,20000000,36880033,46255763,2016,Feb,Risen,Risen,2010,"Biography,Drama",231.3
1540,"Aug 18, 2010",Vampires Suck,20000000,36661504,81424988,2010,Aug,Vampires Suck,Vampires Suck,2010,Comedy,407.1
1541,"Sep 1, 2010",The American,20000000,35606376,67950723,2010,Sep,The American,The American,2010,"Crime,Drama,Thriller",339.8
1543,"Jan 4, 2013",Texas Chainsaw 3D,20000000,34341945,47666013,2013,Jan,Texas Chainsaw 3D,Texas Chainsaw 3D,2013,"Horror,Thriller",238.3
1544,"Mar 12, 2010",She's Out of My League,20000000,32010860,48680977,2010,Mar,She's Out of My League,She's Out of My League,2010,"Comedy,Romance",243.4
1545,"Nov 26, 2008",Milk,20000000,31841299,57293371,2008,Nov,Milk,Milk,2015,"Documentary,Family",286.5
1546,"Aug 31, 2011",The Debt,20000000,31177548,46604054,2011,Aug,The Debt,The Debt,2010,"Drama,Thriller",233.0
1548,"Aug 23, 2013",The World's End,20000000,26004851,47508505,2013,Aug,The World's End,The World's End,2013,"Action,Comedy,Sci-Fi",237.5
1556,"Jun 16, 2017",Rough Night,20000000,22105643,46844357,2017,Jun,Rough Night,Rough Night,2017,"Comedy,Crime,Thriller",234.2
1559,"Sep 29, 2017",Flatliners,20000000,16883115,45173738,2017,Sep,Flatliners,Flatliners,2017,"Drama,Horror,Mystery",225.9
1617,"Dec 1, 2017",The Shape of Water,19500000,63859435,195790794,2017,Dec,The Shape of Water,The Shape of Water,2017,"Adventure,Drama,Fantasy",1004.1
1620,"Jun 24, 2011",Bad Teacher,19000000,100292856,215448997,2011,Jun,Bad Teacher,Bad Teacher,2011,"Comedy,Romance",1133.9
1621,"Aug 12, 2016",Sausage Party,19000000,97670358,141344255,2016,Aug,Sausage Party,Sausage Party,2016,"Adventure,Animation,Comedy",743.9
1622,"Feb 26, 2010",The Crazies,19000000,39123589,56445534,2010,Feb,The Crazies,The Crazies,2010,"Horror,Thriller",297.1
1623,"Aug 20, 2010",The Switch,19000000,27758465,49858465,2010,Aug,The Switch,The Switch,2010,"Comedy,Drama,Romance",262.4
1626,"Nov 8, 2013",The Book Thief,19000000,21488481,76086711,2013,Nov,The Book Thief,The Book Thief,2013,"Drama,War",400.5
1637,"May 9, 2014",Neighbors,18000000,150086800,270944428,2014,May,Neighbors,Neighbors,2014,Comedy,1505.2
1642,"Mar 25, 2016",My Big Fat Greek Wedding 2,18000000,59689605,92096558,2016,Mar,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016,"Comedy,Romance",511.6
1643,"Sep 11, 2015",The Perfect Guy,18000000,57027435,60278166,2015,Sep,The Perfect Guy,The Perfect Guy,2015,"Crime,Drama,Horror",334.9
1644,"Mar 25, 2011",Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,73695194,2011,Mar,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy,Family",409.4
1645,"Apr 8, 2011",Soul Surfer,18000000,43853424,47158652,2011,Apr,Soul Surfer,Soul Surfer,2011,"Biography,Drama,Family",262.0
